id,work_title,movement,clef,keysig,timesig,pae_data,rism_id,rism_opac_link,tu_da_link
30628073,Symphonie in D-Dur GWV 551 (1750),1. Allegro,G-2,xFC,c,{''6D'AFA}{DFAF}{''D'AFA}{DFAF}/{''8D'A}{8.At3B''C}{8D'6DD}{FFAA}/{FADE},450002115,https://opac.rism.info/metaopac/search?View=rism&id=450002115,http://tudigit.ulb.tu-darmstadt.de/show/Mus-Ms-470-68/0002
30628075,Symphonie in D-Dur GWV 551 (1750),2. Andante,G-2,xFC,3,'8B''4C{6DC}qE{DC8'B}/4-8-{''6DC}qE{DC'8B}/,450002115,https://opac.rism.info/metaopac/search?View=rism&id=450002115,http://tudigit.ulb.tu-darmstadt.de/show/Mus-Ms-470-68/0002
30628077,Symphonie in D-Dur GWV 551 (1750),3. Tempo di menuet. Allegro,G-2,xFC,3,''8D4D{8DFA}/'A''4D{8DFA}/{338.DEF}{FED}{AGF}/,450002115,https://opac.rism.info/metaopac/search?View=rism&id=450002115,http://tudigit.ulb.tu-darmstadt.de/show/Mus-Ms-470-68/0002
30628079,Symphonie in D-Dur GWV 551 (1750),4. Presto,G-2,xFC,2/4,Fehler:533,450002115,https://opac.rism.info/metaopac/search?View=rism&id=450002115,http://tudigit.ulb.tu-darmstadt.de/show/Mus-Ms-470-68/0002
30628083,Symphonie in D-Dur GWV 552 (1750),1. Molto allegro,G-2,xFC,6/8,'8A/{''DD}---'A/{''EE}---'A/{''FFD}{AAD}/,450002116,https://opac.rism.info/metaopac/search?View=rism&id=450002116,http://tudigit.ulb.tu-darmstadt.de/show/Mus-Ms-470-69/0002
30628085,Symphonie in D-Dur GWV 552 (1750),2. Piano e poco allegro,G-2,xFC,3/8,{'8B3B''C6D}{3CD6E}/qE{DCqC'8B}-/{B3B''C6D}{3CD6E}/qE{8DC}-/,450002116,https://opac.rism.info/metaopac/search?View=rism&id=450002116,http://tudigit.ulb.tu-darmstadt.de/show/Mus-Ms-470-69/0002
30628086,Symphonie in D-Dur GWV 552 (1750),3. Allegro moderato,G-2,xFC,c,'4A/''D2'A{8BG}/4GF-B/{8A''DC'B}{AGFE}/,450002116,https://opac.rism.info/metaopac/search?View=rism&id=450002116,http://tudigit.ulb.tu-darmstadt.de/show/Mus-Ms-470-69/0002
30628087,Symphonie in D-Dur GWV 552 (1750),4. Allegro,G-2,xFC,3/8,''8A/{A6FADA}/i/{'A''DC'BAG}/qG{FE8D''A}/,450002116,https://opac.rism.info/metaopac/search?View=rism&id=450002116,http://tudigit.ulb.tu-darmstadt.de/show/Mus-Ms-470-69/0002
30628090,Symphonie in D-Dur GWV 553 (1750),1. Allegro,G-2,xFC,6/8,{''8.A6B8A}{D'A''D}/{EGF}qG4Ft8E/{8.A6B8A}{D'A''D}/{EGF},450002117,https://opac.rism.info/metaopac/search?View=rism&id=450002117,http://tudigit.ulb.tu-darmstadt.de/show/Mus-Ms-470-70/0002
30628092,Symphonie in D-Dur GWV 553 (1750),2. Andante,G-2,xFC,3,{''8(FED)}qD4C{3CD6E}8-/{('xAB''C)}qE4DC/{(6FEDC'8B)}{(FBB)}{(6B''C8DD)}/,450002117,https://opac.rism.info/metaopac/search?View=rism&id=450002117,http://tudigit.ulb.tu-darmstadt.de/show/Mus-Ms-470-70/0002
30628094,Symphonie in D-Dur GWV 553 (1750),3. Menuet,G-2,xFC,3,{''3FG8.A}4A8xG-/{3EF8.G}4.G{3EF6G}/{8FEDC'BA}/qA{GF}q4F2E/,450002117,https://opac.rism.info/metaopac/search?View=rism&id=450002117,http://tudigit.ulb.tu-darmstadt.de/show/Mus-Ms-470-70/0002
30628096,Symphonie in D-Dur GWV 553 (1750),4. Andante,G-2,xF,2/4,'2G/Aqq6B''Cr/{'8BGAD}/2''D/'G/Aqq6B''Cr/,450002117,https://opac.rism.info/metaopac/search?View=rism&id=450002117,http://tudigit.ulb.tu-darmstadt.de/show/Mus-Ms-470-70/0002
30628098,Symphonie in D-Dur GWV 553 (1750),5. Allegro,G-2,xFC,3/8,{'8D6FDxGE}/{8AB''C}/{6DCDEFxG}/{8A'A}-/{''BA}-/{CD}-/,450002117,https://opac.rism.info/metaopac/search?View=rism&id=450002117,http://tudigit.ulb.tu-darmstadt.de/show/Mus-Ms-470-70/0002
